employee_id,employee_name,gender,age,hire_date,employment_status,job_title,job_level,grade,department,division,business_unit,location,manager_id,manager_name,salary,position_id,position_status,employment_type,work_arrangement,performance_rating,years_of_service
E11673,Mark Johnson,Male,61,1998-09-25,Active,Chief Executive Officer,0,G20,Executive Office,Executive Office,Corporate Services,Riyadh,,,2039500.0,P10001,Filled,Full-Time,On-site,2,28.0
E14803,Donald Walker,Male,30,2019-03-18,Active,Executive Assistant,6,G7,Executive Office,Executive Office,Corporate Services,Riyadh,E11673,Mark Johnson,114500.0,P10002,Filled,Full-Time,On-site,3,7.5
E12190,Noah Rhodes,Male,35,2016-04-19,Active,Executive Assistant,6,G8,Executive Office,Executive Office,Corporate Services,Riyadh,E11673,Mark Johnson,120500.0,P10003,Filled,Full-Time,On-site,3,10.4
E10492,Steven Miller,Male,46,2001-09-25,Active,Chief Human Resources Officer,1,G19,Executive Office,Executive Office,Corporate Services,Riyadh,E11673,Mark Johnson,1240700.0,P10004,Filled,Full-Time,On-site,4,25.0
E10438,Jennifer Johnson,Female,34,2016-04-21,Active,Executive Assistant,6,G9,Executive Office,Executive Office,Corporate Services,Riyadh,E10492,Steven Miller,121600.0,P10005,Filled,Full-Time,On-site,4,10.4
E10750,Colleen Wagner,Female,38,2023-12-21,Active,"Director, HR Operations",2,G17,HR Operations,Human Resources,Corporate Services,Riyadh,E10492,Steven Miller,465000.0,P10006,Filled,Full-Time,Hybrid,4,2.8
E11138,Alyssa Gonzalez,Female,39,2008-09-25,Active,HR Operations Manager,4,G13,HR Operations,Human Resources,Corporate Services,Riyadh,E10750,Colleen Wagner,320100.0,P10007,Filled,Full-Time,On-site,3,18.0
E13376,Matthew Gardner,Male,31,2020-04-22,Active,Senior HR Analyst,6,G8,HR Operations,Human Resources,Corporate Services,Riyadh,E11138,Alyssa Gonzalez,121300.0,P10008,Filled,Full-Time,Hybrid,4,6.4
E10676,Connie Lawrence,Female,34,2026-01-07,Active,HR Analyst,6,G6,HR Operations,Human Resources,Corporate Services,Riyadh,E11138,Alyssa Gonzalez,117900.0,P10009,Filled,Full-Time,On-site,4,0.7
E14372,Rhonda Smith,Female,25,2022-09-25,Active,HR Specialist,6,G6,HR Operations,Human Resources,Corporate Services,Riyadh,E11138,Alyssa Gonzalez,131900.0,P10010,Filled,Full-Time,On-site,2,4.0
E13607,Renee Wolfe,Female,27,2022-06-12,Active,HR Officer,6,G9,HR Operations,Human Resources,Corporate Services,Riyadh,E11138,Alyssa Gonzalez,105800.0,P10011,Filled,Full-Time,Hybrid,4,4.3
E14138,Gerald Moore,Male,30,2022-10-21,Active,Senior HR Analyst,6,G7,HR Operations,Human Resources,Corporate Services,Riyadh,E11138,Alyssa Gonzalez,139300.0,P10012,Filled,Full-Time,On-site,3,3.9
E14784,Tina Rogers,Female,31,2018-12-18,Active,HR Analyst,6,G5,HR Operations,Human Resources,Corporate Services,Riyadh,E11138,Alyssa Gonzalez,138200.0,P10013,Filled,Full-Time,On-site,2,7.8
E13591,Anna Davis,Female,46,2023-02-04,Active,HR Specialist,6,G6,HR Operations,Human Resources,Corporate Services,Riyadh,E11138,Alyssa Gonzalez,133900.0,P10014,Filled,Full-Time,On-site,3,3.6
E10183,Ryan Munoz,Male,28,2025-09-20,Active,HR Officer,6,G6,HR Operations,Human Resources,Corporate Services,Riyadh,E11138,Alyssa Gonzalez,108200.0,P10015,Filled,Full-Time,On-site,4,1.0
E10334,Robert Blair,Male,30,2025-02-21,Active,HR Analyst,6,G8,HR Operations,Human Resources,Corporate Services,Riyadh,E11138,Alyssa Gonzalez,121000.0,P10016,Filled,Full-Time,On-site,3,1.6
E14411,Kimberly Dudley,Female,36,2018-09-12,Active,HR Coordinator,6,G6,HR Operations,Human Resources,Corporate Services,Riyadh,E11138,Alyssa Gonzalez,127300.0,P10017,Filled,Full-Time,On-site,3,8.0
